1stclosing,2ndclosing,3rdclosing,4thclosing,5thclosing,6thopening
140.05625995113,140.68115686168,139.90747497243,140.65139986594,140.48277689007,142.43681961036
140.68115686168,139.90747497243,140.65139986594,140.48277689007,142.01030267141,142.5657665919
139.90747497243,140.65139986594,140.48277689007,142.01030267141,142.17892564727,143.12123051238
140.65139986594,140.48277689007,142.01030267141,142.17892564727,142.49633360184,143.05179752232
140.48277689007,142.01030267141,142.17892564727,142.49633360184,142.85341755072,142.08965466005
142.01030267141,142.17892564727,142.49633360184,142.85341755072,143.59734244423,142.54592859474
142.17892564727,142.49633360184,142.85341755072,143.59734244423,142.53600959616,142.55584759332
142.49633360184,142.85341755072,143.59734244423,142.53600959616,142.49633360184,143.02204052658
142.85341755072,143.59734244423,142.53600959616,142.49633360184,142.7641465635,142.516171599
143.59734244423,142.53600959616,142.49633360184,142.7641465635,142.95260753652,139.76860899231
142.53600959616,142.49633360184,142.7641465635,142.95260753652,142.63519958196,138.26092120813
142.49633360184,142.7641465635,142.95260753652,142.63519958196,139.73885199657,140.35382990853
142.7641465635,142.95260753652,142.63519958196,139.73885199657,139.50079603064,140.11577394261
142.95260753652,142.63519958196,139.73885199657,139.50079603064,139.77852799089,138.71223564353
142.63519958196,139.73885199657,139.50079603064,139.77852799089,140.27447791989,140.95888882192
139.73885199657,139.50079603064,139.77852799089,140.27447791989,138.70727614424,139.26274006472
139.50079603064,139.77852799089,140.27447791989,138.70727614424,140.31415391421,139.85787997953
139.77852799089,140.27447791989,138.70727614424,140.31415391421,138.85606112294,139.58014801928
140.27447791989,138.70727614424,140.31415391421,138.85606112294,139.55039102354,138.28075920529
138.70727614424,140.31415391421,138.85606112294,139.55039102354,139.3222540562,138.17165022091
140.31415391421,138.85606112294,139.55039102354,139.3222540562,137.86416126493,137.7252952848
138.85606112294,139.55039102354,139.3222540562,137.86416126493,138.07246023511,138.12205522801
139.55039102354,139.3222540562,137.86416126493,138.07246023511,138.01294624363,137.61618630042
139.3222540562,137.86416126493,138.07246023511,138.01294624363,137.55667230894,137.82448527061
137.86416126493,138.07246023511,138.01294624363,137.55667230894,137.87408026351,137.93359425499
138.07246023511,138.01294624363,137.55667230894,137.87408026351,138.38986818967,138.23612371168
138.01294624363,137.55667230894,137.87408026351,138.38986818967,138.21132621523,137.65586229474
137.55667230894,137.87408026351,138.38986818967,138.21132621523,138.64776215275,138.86598012152
137.87408026351,138.38986818967,138.21132621523,138.64776215275,137.83440426919,136.77307142111
138.38986818967,138.21132621523,138.64776215275,137.83440426919,138.65768115133,135.96963253613
138.21132621523,138.64776215275,137.83440426919,138.65768115133,135.8803615489,136.02914652761
138.64776215275,137.83440426919,138.65768115133,135.8803615489,135.82084755742,134.80910970225
137.83440426919,138.65768115133,135.8803615489,135.82084755742,135.55303459576,136.26720249353
138.65768115133,135.8803615489,135.82084755742,135.55303459576,135.42408761422,135.32489762842
135.8803615489,135.82084755742,135.55303459576,135.42408761422,135.99938953187,135.12651765682
135.82084755742,135.55303459576,135.42408761422,135.99938953187,135.59271059008,134.00567081726
135.55303459576,135.42408761422,135.99938953187,135.59271059008,134.62064872923,134.57105373633
135.42408761422,135.99938953187,135.59271059008,134.62064872923,134.24868628248,134.42226875763
135.99938953187,135.59271059008,134.62064872923,134.24868628248,134.41234975905,132.38887404871
135.59271059008,134.62064872923,134.24868628248,134.41234975905,133.92631882862,132.00203310408
134.62064872923,134.24868628248,134.41234975905,133.92631882862,132.21033207426,131.38705519212
134.24868628248,134.41234975905,133.92631882862,132.21033207426,131.04980924039,130.58361630713
134.41234975905,133.92631882862,132.21033207426,131.04980924039,131.34737919779,129.72763559388
133.92631882862,132.21033207426,131.04980924039,131.34737919779,130.40911308577,128.92764027732
132.21033207426,131.04980924039,131.34737919779,130.40911308577,129.9054123309,127.53505583737
131.04980924039,131.34737919779,130.40911308577,129.9054123309,128.68072814257,126.72518403541
131.34737919779,130.40911308577,129.9054123309,128.68072814257,127.48567341042,126.39432177485
130.40911308577,129.9054123309,128.68072814257,127.48567341042,126.94246671398,125.46099390553
129.9054123309,128.68072814257,127.48567341042,126.94246671398,127.15974939256,119.65362049637
128.68072814257,127.48567341042,126.94246671398,127.15974939256,119.85115020417,119.4363378178
127.48567341042,126.94246671398,127.15974939256,119.85115020417,120.12769179508,120.63139254996
126.94246671398,127.15974939256,119.85115020417,120.12769179508,120.44373932755,120.16719773664
127.15974939256,119.85115020417,120.12769179508,120.44373932755,120.43386284216,118.93263706293
119.85115020417,120.12769179508,120.44373932755,120.43386284216,120.37460392982,118.07338283402
120.12769179508,120.44373932755,120.43386284216,120.37460392982,118.48819522039,118.51782467656
120.44373932755,120.43386284216,120.37460392982,118.48819522039,118.59683655968,118.96226651909
120.43386284216,120.37460392982,118.48819522039,118.59683655968,118.51782467656,117.92523555317
120.37460392982,118.48819522039,118.59683655968,118.51782467656,118.30054199798,118.51782467656
118.48819522039,118.59683655968,118.51782467656,118.30054199798,118.50794819117,116.87832810187
118.59683655968,118.51782467656,118.30054199798,118.50794819117,118.51782467656,117.63881747687
118.51782467656,118.30054199798,118.50794819117,118.51782467656,117.56968207915,117.42647304099
118.30054199798,118.50794819117,118.51782467656,117.56968207915,117.77708827233,117.27338751745
118.50794819117,118.51782467656,117.56968207915,117.77708827233,118.27091254181,117.30301697362
118.51782467656,117.56968207915,117.77708827233,118.27091254181,117.63881747687,116.49314517167
117.56968207915,117.77708827233,118.27091254181,117.63881747687,117.5202996522,115.33759638107
117.77708827233,118.27091254181,117.63881747687,117.5202996522,116.45363923011,114.48821863755
118.27091254181,117.63881747687,117.5202996522,116.45363923011,115.16969612944,114.41908323983
117.63881747687,117.5202996522,116.45363923011,115.16969612944,114.58698349145,114.36970081288
117.5202996522,116.45363923011,115.16969612944,114.58698349145,114.71537780152,115.209202071
116.45363923011,115.16969612944,114.58698349145,114.71537780152,114.38945378366,115.01167236321
115.16969612944,114.58698349145,114.71537780152,114.38945378366,115.28821395412,116.06845629991
114.58698349145,114.71537780152,114.38945378366,115.28821395412,115.31784341029,115.08080776094
114.71537780152,114.38945378366,115.28821395412,115.31784341029,115.81166767978,114.16229461969
114.38945378366,115.28821395412,115.31784341029,115.81166767978,115.08080776094,114.91290750931
115.28821395412,115.31784341029,115.81166767978,115.08080776094,114.85364859697,115.35734935185
115.31784341029,115.81166767978,115.08080776094,114.85364859697,115.61413797198,115.29809043951
115.81166767978,115.08080776094,114.85364859697,115.61413797198,115.50549663269,114.36970081288
115.08080776094,114.85364859697,115.61413797198,115.50549663269,115.19932558561,115.03142533399
114.85364859697,115.61413797198,115.50549663269,115.19932558561,114.5376010645,113.95488842651
115.61413797198,115.50549663269,115.19932558561,114.5376010645,114.38945378366,113.61908792326
115.50549663269,115.19932558561,114.5376010645,114.38945378366,113.76723520411,112.43390967649
115.19932558561,114.5376010645,114.38945378366,113.76723520411,113.76723520411,111.89070298006
114.5376010645,114.38945378366,113.76723520411,113.76723520411,111.90057946545,110.92280741187
114.38945378366,113.76723520411,113.76723520411,111.90057946545,112.54255101578,109.49071703036
113.76723520411,113.76723520411,111.90057946545,112.54255101578,110.73515418946,107.91047936801
113.76723520411,111.90057946545,112.54255101578,110.73515418946,109.65861728198,108.14751501736
111.90057946545,112.54255101578,110.73515418946,109.65861728198,108.5919568599,108.64133928684
112.54255101578,110.73515418946,109.65861728198,108.5919568599,107.76233208716,107.8215909995
110.73515418946,109.65861728198,108.5919568599,107.76233208716,108.54257443295,109.00183100357
109.65861728198,108.5919568599,107.76233208716,108.54257443295,108.13763853197,110.18207100764
108.5919568599,107.76233208716,108.54257443295,108.13763853197,109.15491652711,109.41170514724
107.76233208716,108.54257443295,108.13763853197,109.15491652711,110.08330615374,110.05367669757
108.54257443295,108.13763853197,109.15491652711,110.08330615374,110.19194749303,109.75738213588
108.13763853197,109.15491652711,110.08330615374,110.19194749303,110.4092301716,109.98454129985
109.15491652711,110.08330615374,110.19194749303,110.4092301716,109.85614698978,110.56725393784
110.08330615374,110.19194749303,110.4092301716,109.85614698978,110.41910665699,108.75985711152
110.19194749303,110.4092301716,109.85614698978,110.41910665699,110.34997125926,108.36479769593
